timestamp,participant,experiment,condition,trial,mode,response_format,n_items,interval_s,delay_s,sequence,response,free_correct_n,free_accuracy,serial_correct_n,serial_accuracy,start_accuracy,middle_accuracy,end_accuracy,primacy_index,recency_index,wm_questions,wm_correct,tap_count,chunk_label
2026-09-14T15:51:04,Bert,serial_recall,baseline,1,visual,letters,12,3.0,0,X || Z || O || T || Z || K || C || W || B || Q || B || D,X || P || O || C || T || P || Q || K,6,0.5,2,0.166667,0.75,0.5,0.25,0.25,-0.25,0,0,0,
2026-09-14T15:52:05,Bert,serial_recall,baseline,2,visual,letters,12,3.0,0,U || F || P || U || I || D || U || H || V || J || R || F,U || F || P || U || I || J || D || S || K || W || Q || R,8,0.666667,5,0.416667,0.708333,0.666667,0.625,0.041667,-0.041667,0,0,0,
2026-09-14T15:52:49,Bert,serial_recall,baseline,3,visual,letters,12,3.0,0,O || X || Q || L || Z || G || Y || Q || I || V || W || P,O || X || Q || L || Z || Y || R || P,7,0.583333,5,0.416667,0.875,0.625,0.25,0.25,-0.375,0,0,0,
2026-09-14T15:54:04,Bert,serial_recall,baseline,4,visual,letters,12,3.0,0,N || K || H || O || J || M || A || I || V || V || L || E,N || K || H || O || J || A || I || V || V,9,0.75,6,0.5,1.0,0.75,0.5,0.25,-0.25,0,0,0,
2026-09-14T15:55:11,Bert,serial_recall,baseline,5,visual,letters,12,3.0,0,U || C || T || H || N || N || O || V || J || J || K || O,U || C || T || H || N || N || V || O || J || A,9,0.75,7,0.583333,1.0,0.875,0.375,0.125,-0.5,0,0,0,
2026-09-14T15:58:26,Bert,serial_recall,finger_tapping,1,visual,letters,12,3.0,0,I || N || B || Y || Q || C || H || I || Y || W || H || G,I || N || B || Y || Q || C || H || I || J || C || H || H,9,0.75,9,0.75,0.875,1.0,0.375,-0.125,-0.625,0,0,109,
2026-09-14T15:59:16,Bert,serial_recall,finger_tapping,2,visual,letters,12,3.0,0,A || L || F || C || U || X || V || D || D || O || K || U,A || L || F || C || U || X || V || D || D || U || F || C,10,0.833333,9,0.75,1.0,1.0,0.5,0.0,-0.5,0,0,133,
2026-09-14T16:00:31,Bert,serial_recall,finger_tapping,3,visual,letters,12,3.0,0,Y || F || C || W || O || W || L || R || A || U || N || O,U || F || C || W || O || A || R || J || H || A || R || L,8,0.666667,4,0.333333,0.625,0.75,0.625,-0.125,-0.125,0,0,139,
2026-09-14T16:01:30,Bert,serial_recall,finger_tapping,4,visual,letters,12,3.0,0,P || E || C || D || I || T || F || V || T || G || V || Y,P || E || C || D || I || T || F || V || C || J || Y || Y,9,0.75,9,0.75,1.0,0.75,0.5,0.25,-0.25,0,0,118,
2026-09-14T16:03:03,Bert,serial_recall,finger_tapping,5,visual,letters,12,3.0,0,R || C || J || X || S || X || Z || B || S || S || H || U,Q || W || E || R || T || Y || U || I || O || A || S || D,3,0.25,0,0.0,0.25,0.083333,0.416667,0.166667,0.333333,0,0,142,
