timestamp,participant,experiment,condition,trial,mode,response_format,n_items,interval_s,delay_s,sequence,response,free_correct_n,free_accuracy,serial_correct_n,serial_accuracy,start_accuracy,middle_accuracy,end_accuracy,primacy_index,recency_index,wm_questions,wm_correct,tap_count,chunk_label
2026-09-15T09:37:14,Chris,free_recall,baseline,1,visual,letters,16,3.0,0,F || I || I || Y || Z || U || E || S || F || H || R || H || P || V || L || N,F || I || N || Y || I || F || H || R || S || V || I || U || M || A || B || C,11,0.6875,3,0.1875,0.833333,0.7,0.5,0.133333,-0.2,0,0,0,
2026-09-15T09:38:34,Chris,free_recall,baseline,2,visual,letters,16,3.0,0,P || Z || D || X || D || W || X || V || U || Q || I || J || U || T || S || I,S || T || I || P || Z || D || V || N || A || U || S || T || I || W || W || D,11,0.6875,0,0.0,0.833333,0.5,0.7,0.333333,0.2,0,0,0,
2026-09-15T09:39:55,Chris,free_recall,baseline,3,visual,letters,16,3.0,0,P || Q || M || G || M || W || G || M || H || N || U || Z || P || O || B || D,P || Z || D || D || H || H || T || W || U || S || A || B || F || M || N || V,9,0.5625,1,0.0625,0.361111,0.666667,0.7,-0.305556,0.033333,0,0,0,
2026-09-15T09:41:18,Chris,free_recall,baseline,4,visual,letters,16,3.0,0,I || F || L || B || U || T || V || Z || V || H || R || F || G || W || N || I,I || F || L || B || U || T || V || Z || V || F || W || A || T || G || T || L,12,0.75,9,0.5625,0.916667,0.6,0.7,0.316667,0.1,0,0,0,
2026-09-15T09:42:37,Chris,free_recall,baseline,5,visual,letters,16,3.0,0,H || F || Y || W || A || A || T || Z || H || H || O || Y || K || L || N || F,Y || W || A || A || T || Z || H || H || Y || K || A || F || U || R || Q || T,11,0.6875,0,0.0,0.861111,0.666667,0.5,0.194444,-0.166667,0,0,0,
