timestamp_utc,participant_id,session_id,block,condition,trial_number,presentation_mode,n_items,item_interval_s,pre_recall_delay_s,secondary_task,presented_sequence,response_raw,parsed_response,total_correct,proportion_correct,primacy_proportion,middle_proportion,recency_proportion,primacy_effect,recency_effect,exact_serial_correct,omissions,intrusions,substitution_pairs,phonologically_similar_substitutions
2026-09-08T12:51:12+00:00,Alberte,437a27b4-85fb-4404-916d-32450584cebe,Free recall,Baseline,1,visual,16,3.0,0,,F | X | U | T | S | L | N | W | Q | Z | M | B | C | E | V | H,V T X U S L R,V | T | X | U | S | L | R,6,0.375,0.8,0.16666666666666666,0.2,0.6333333333333334,0.033333333333333354,,F | N | W | Q | Z | M | B | C | E | H,R,,0
2026-09-08T12:52:45+00:00,Alberte,437a27b4-85fb-4404-916d-32450584cebe,Free recall,Baseline,2,visual,16,3.0,0,,L | H | M | E | P | B | X | Q | J | F | V | O | U | W | C | N,E U O X Q Z J S L V H,E | U | O | X | Q | Z | J | S | L | V | H,9,0.5625,0.6,0.6666666666666666,0.4,-0.06666666666666665,-0.2666666666666666,,M | P | B | F | W | C | N,Z | S,,0
2026-09-08T12:54:14+00:00,Alberte,437a27b4-85fb-4404-916d-32450584cebe,Free recall,Baseline,3,visual,16,3.0,0,,R | K | S | M | E | F | C | L | V | H | P | B | J | U | N | Q,C L V U N Q P J,C | L | V | U | N | Q | P | J,8,0.5,0.0,0.6666666666666666,0.8,-0.6666666666666666,0.13333333333333341,,R | K | S | M | E | F | H | B,,,0
2026-09-08T12:55:53+00:00,Alberte,437a27b4-85fb-4404-916d-32450584cebe,Free recall,Baseline,4,visual,16,3.0,0,,G | I | O | K | D | F | U | L | H | M | X | V | P | T | C | Q,I O K D U L H M X Q P T,I | O | K | D | U | L | H | M | X | Q | P | T,12,0.75,0.8,0.8333333333333334,0.6,-0.033333333333333326,-0.2333333333333334,,G | F | V | C,,,0
2026-09-08T12:57:43+00:00,Alberte,437a27b4-85fb-4404-916d-32450584cebe,Free recall,Baseline,5,visual,16,3.0,0,,P | S | J | R | D | I | E | Q | B | W | L | M | T | H | X | Y,H X Y I E D S J Q B,H | X | Y | I | E | D | S | J | Q | B,10,0.625,0.6,0.6666666666666666,0.6,-0.06666666666666665,-0.06666666666666665,,P | R | W | L | M | T,,,0
